CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Raça Cor;Sexo Trabalhador;uf;valor_remuneracao_media
49213;03;01;24;08;01;14;1703.9
49213;07;01;52;08;01;14;2209.56
49213;05;01;34;08;01;14;967.15
47296;03;01;24;09;01;14;1314.78
01393;06;01;44;04;01;14;1931.41
01393;07;01;62;02;01;14;1603.18
01393;04;01;25;08;01;14;2198.59
03221;07;01;51;08;01;14;1272.48
49221;07;01;60;02;01;14;2809.23
49221;05;01;39;08;01;14;1731.53
47440;05;01;32;09;01;14;1263.03
46877;06;01;46;09;01;14;1349.18
41204;05;01;33;08;01;14;4140.34
47113;04;01;28;09;01;14;1681.76
10911;04;01;26;08;01;14;1951.41
80111;04;01;29;02;01;14;1630.98
42995;06;01;45;09;01;14;1408.53
82997;03;01;23;08;01;14;1432.3
78205;04;01;25;09;01;14;1606.38
43991;07;01;63;08;01;14;1965.9
46613;03;01;21;09;01;14;1547.53
81290;06;01;44;08;01;14;1508.61
81290;06;01;45;08;01;14;1940.25
23915;04;01;25;08;01;14;2133.45
23915;05;01;33;08;01;14;1711.46
52401;05;01;33;09;01;14;2892.71
23915;06;01;47;08;01;14;1596.79
47296;05;01;39;09;01;14;1617.7
47113;04;01;28;08;01;14;1202.65
42995;06;01;45;08;01;14;2685.54
47237;03;01;24;09;01;14;1507.76
47229;04;01;26;09;01;14;1793.89
47440;05;01;36;09;01;14;2196.28
47440;07;01;62;09;01;14;1551.45
47113;04;01;29;08;01;14;2279.04
82997;05;01;35;08;01;14;1604.24
82997;05;01;35;08;01;14;1744.34
35115;05;01;34;06;01;14;9661.16
84116;06;02;42;99;01;14;1249.29
84116;07;02;60;99;01;14;1285.23
84116;08;02;84;99;01;14;1312.56
84116;07;02;60;99;01;14;1460.69
84116;08;02;65;99;01;14;1648.83
84116;07;02;53;99;01;14;1429.12
90019;08;02;65;99;01;14;1212
90019;08;02;82;99;01;14;1212
90019;04;02;28;99;01;14;1212
84116;07;02;58;99;01;14;1454.4
84116;06;02;43;99;01;14;1746.92
42995;07;02;63;08;01;14;0
41204;07;02;55;08;01;14;2218.94
42111;07;02;57;02;01;14;13720
42111;07;02;60;08;01;14;1350
80111;06;02;40;09;01;14;1830.87
42111;08;02;72;08;01;14;8775
80111;06;02;42;01;01;14;1871.59
42111;08;02;65;08;01;14;2200
60101;07;02;57;02;01;14;0
42227;05;02;38;08;01;14;0
47440;02;02;15;09;01;14;620.39
80111;07;02;58;08;01;14;1645.5
42138;05;02;31;04;01;14;1066
42138;07;02;55;08;01;14;1547.55
81214;07;02;61;08;01;14;1237.2
46397;05;02;39;09;01;14;16021.67
42111;07;02;57;08;01;14;1447.34
47113;06;02;41;09;01;14;3495.81
82113;05;02;39;08;01;14;919.75
42138;05;02;35;08;01;14;1628.46
94910;07;02;51;08;01;14;0
01156;06;02;42;09;01;14;0
42138;08;02;66;08;01;14;1597.46
42138;07;02;64;09;01;14;1954.83
47440;06;02;45;02;01;14;1240.79
42138;08;02;77;02;01;14;0
85996;08;02;87;02;01;14;0
81214;08;02;66;08;01;14;1268.87
81214;07;02;63;08;01;14;1267.44
80111;05;02;38;09;01;14;1675.82
47113;05;02;32;08;01;14;1631.73
80111;07;02;51;08;01;14;1887.02
62023;06;02;45;09;01;14;3983.87
42138;07;02;57;08;01;14;0
01512;05;02;32;08;01;14;1541.67
43134;07;02;59;04;01;14;1371.67
80111;05;02;34;09;01;14;1769.4
47113;05;02;33;08;01;14;0
47237;06;02;45;08;01;14;1485.32
80111;06;02;40;09;01;14;1864.48
47296;06;02;44;08;01;14;1865.73
01512;06;02;44;08;01;14;1212
42138;07;02;64;08;01;14;0
81214;07;02;56;08;01;14;1632.01
94201;07;02;61;09;01;14;1245.67
47113;05;02;36;02;01;14;530.86
01512;04;02;28;08;01;14;1252.28
81214;06;02;48;08;01;14;1267.44
80111;05;02;37;09;01;14;1724.14
01512;06;02;41;08;01;14;1601.62
42138;07;02;59;08;01;14;1644.54
81214;07;02;54;09;01;14;0
01512;06;02;45;08;01;14;0
01211;05;02;39;08;01;14;1245.57
01211;05;02;39;08;01;14;1212
01512;07;02;53;08;01;14;1212
60101;07;02;64;09;01;14;0
80111;05;02;33;01;01;14;1839.44
03221;07;02;55;09;01;14;3111.11
01512;06;02;45;08;01;14;1463.03
01512;05;02;35;02;01;14;1271.09
01512;07;02;56;09;01;14;1212
88006;08;02;79;08;01;14;0
84116;07;02;54;99;01;14;1181.45
01199;05;02;34;08;01;14;0
10660;05;02;34;09;01;14;1232.39
47113;07;02;55;08;01;14;1767.65
56112;05;02;37;09;01;14;1853.83
84116;07;02;63;99;01;14;1892.31
84116;06;02;48;99;01;14;1948.99
84116;07;02;52;99;01;14;1936.51
47113;06;02;41;08;01;14;1302.84
35115;07;02;55;08;01;14;2021.33
01113;07;02;55;08;01;14;2875
45307;06;02;43;08;01;14;0
01156;05;02;37;08;01;14;1940
01156;04;02;29;08;01;14;1940
96033;03;02;23;08;01;14;1452.3
96033;05;02;30;08;01;14;1332.3
49302;05;02;32;08;01;14;0
01512;06;02;46;08;01;14;1276.92
84116;07;02;61;99;01;14;2513.06
84116;07;02;61;99;01;14;1398.96
84116;06;02;40;99;01;14;1136.97
84116;07;02;50;99;01;14;1212
84116;06;02;47;99;01;14;1164.25
84116;07;02;55;99;01;14;1421
84116;06;02;48;99;01;14;1421
84116;07;02;52;99;01;14;1212
47440;06;02;46;08;01;14;1257.08
49299;07;02;53;08;01;14;1248.36
45412;07;02;59;08;01;14;2088.68
84116;07;02;51;08;01;14;2969.79
84116;07;02;61;99;01;14;4772.21
84116;07;02;62;99;01;14;2916.34
84116;06;02;49;08;01;14;3134.77
84116;07;02;53;08;01;14;2969.79
84116;08;02;68;99;01;14;3300.54
84116;08;02;65;99;01;14;4894.67
84116;07;02;61;99;01;14;4955.69
84116;08;02;69;99;01;14;5012.8
84116;08;02;73;99;01;14;4873.21
84116;07;02;52;02;01;14;2969.79
84116;07;02;53;99;01;14;4758.95
84116;07;02;64;04;01;14;3134.77
84116;08;02;72;99;01;14;3287.6
84116;07;02;64;99;01;14;3287.6
84116;06;02;49;08;01;14;2969.79
84116;07;02;57;08;01;14;3101.77
84116;08;02;75;99;01;14;4776.01
84116;07;02;61;08;01;14;2969.79
84116;07;02;58;02;01;14;3266.76
84116;07;02;59;02;01;14;3464.75
84116;08;02;68;99;01;14;4906.58
84116;08;02;71;99;01;14;0
84116;07;02;63;08;01;14;4157.7
84116;07;02;60;08;01;14;2969.79
84116;07;02;55;99;01;14;3287.6
84116;07;02;64;02;01;14;2969.79
84116;07;02;58;99;01;14;3292.07
84116;07;02;53;08;01;14;2969.79
84116;08;02;67;99;01;14;4840.36
84116;07;02;58;99;01;14;3045.68
84116;07;02;62;99;01;14;4629.23
84116;08;02;72;99;01;14;2916.34
84116;08;02;66;99;01;14;4769.13
84116;07;02;63;99;01;14;4869.88
84116;08;02;72;99;01;14;4797.46
84116;07;02;64;99;01;14;3410.62
84116;08;02;71;99;01;14;4776.01
84116;07;02;62;99;01;14;4815.11
84116;06;02;45;08;01;14;3101.77
84116;06;02;46;08;01;14;2969.79
84116;07;02;55;99;01;14;3252.48
84116;07;02;54;08;01;14;2969.79
84116;07;02;63;99;01;14;4891.34
84116;08;02;72;99;01;14;4828.85
84116;07;02;62;99;01;14;3317.94
84116;07;02;52;08;01;14;3239.77
84116;06;02;48;08;01;14;2969.79
84116;07;02;64;99;01;14;4855.31
84116;07;02;52;08;01;14;2969.79
84116;07;02;61;08;01;14;3044.2
84116;07;02;58;99;01;14;3287.6
84116;08;02;65;99;01;14;1518.82
84116;07;02;63;99;01;14;4896.96
84116;08;02;70;99;01;14;2916.34
84116;08;02;66;08;01;14;2969.79
84116;07;02;51;08;01;14;2969.79
84116;07;02;52;08;01;14;2969.79
84116;07;02;58;08;01;14;2969.79
84116;07;02;55;08;01;14;3497.73
84116;07;02;52;08;01;14;2969.79
84116;08;02;71;99;01;14;4898.13
84116;08;02;66;99;01;14;3287.6
84116;07;02;62;08;01;14;2969.79
84116;07;02;50;02;01;14;2969.79
84116;08;02;68;99;01;14;3300.54
84116;07;02;62;08;01;14;3332.75
84116;08;02;73;99;01;14;4793.66
84116;08;02;73;99;01;14;4797.46
84116;08;02;71;08;01;14;2969.79
84116;08;02;71;99;01;14;5098.28
84116;06;02;48;08;01;14;3134.77
84116;08;02;65;99;01;14;3287.6
84116;07;02;56;99;01;14;3330.88
84116;07;02;55;99;01;14;3317.94
84116;08;02;70;99;01;14;3317.9
84116;07;02;53;08;01;14;2969.79
84116;07;02;50;02;01;14;2969.79
84116;08;02;73;99;01;14;4752.37
84116;06;02;48;08;01;14;3134.77
84116;07;02;51;08;01;14;2969.79
84116;07;02;53;08;01;14;3398.74
84116;07;02;54;08;01;14;3959.72
84116;08;02;65;99;01;14;2916.34
84116;08;02;66;99;01;14;2916.34
84116;08;02;66;99;01;14;3287.6
84116;07;02;64;99;01;14;5145.92
84116;07;02;63;99;01;14;4793.66
84116;07;02;53;02;01;14;2969.79
84116;07;02;60;99;01;14;3300.54
84116;07;02;54;99;01;14;3287.6
84116;07;02;50;08;01;14;2969.79
84116;07;02;62;99;01;14;3287.6
84116;07;02;53;08;01;14;2969.79
84116;08;02;65;99;01;14;4955.69
84116;08;02;72;99;01;14;2916.34
84116;07;02;59;99;01;14;4891.34
84116;08;02;73;08;01;14;3103.4
84116;08;02;66;08;01;14;2969.79
84116;08;02;67;99;01;14;3286.56
84116;07;02;57;99;01;14;3272.81
84116;07;02;58;02;01;14;3217.26
84116;08;02;66;99;01;14;3317.94
01211;03;02;21;08;01;14;0
01211;06;02;49;08;01;14;2583.37
01211;04;02;27;08;01;14;1695.16
82997;07;02;51;09;01;14;2050
01113;05;02;39;08;01;14;4371.17
01113;06;02;48;09;01;14;3736.95
47121;05;02;33;08;01;14;0
41204;07;02;54;08;01;14;1652.51
46877;05;02;34;04;01;14;3779.46
41204;07;02;55;08;01;14;2114.58
36006;07;02;62;02;01;14;4861.78
36006;06;02;47;08;01;14;3164.65
36006;08;02;65;08;01;14;3254.08
36006;08;02;69;08;01;14;4219.98
36006;07;02;55;02;01;14;3177.76
36006;08;02;74;02;01;14;3305.07
36006;07;02;51;08;01;14;2662.28
36006;07;02;55;04;01;14;3222.82
36006;07;02;62;08;01;14;3598.67
36006;07;02;53;08;01;14;2718.92
36006;07;02;62;08;01;14;4888.44
36006;07;02;52;08;01;14;2808.68
36006;07;02;52;08;01;14;3199.63
36006;07;02;58;08;01;14;4713.05
71120;04;02;28;04;01;14;1742.93
01156;04;02;29;09;01;14;4408.21
10619;07;02;63;08;01;14;0
23427;03;02;24;08;01;14;1253.52
43223;06;02;43;09;01;14;2607.48
01156;07;02;51;02;01;14;1700
42111;07;02;61;08;01;14;1716
42111;07;02;52;08;01;14;1935.5
42111;07;02;55;02;01;14;0
42111;08;02;85;08;01;14;0
23427;05;02;39;09;01;14;2300.83
42111;06;02;44;08;01;14;1819.35
95215;06;02;40;08;01;14;1784.85
42111;07;02;64;08;01;14;0
42111;07;02;53;04;01;14;1857.6
23427;06;02;46;08;01;14;1301.18
01512;07;02;54;02;01;14;1171.6
42111;08;02;73;09;01;14;2803.76
01512;07;02;64;08;01;14;1451.39
01512;06;02;42;08;01;14;1234.44
42111;07;02;51;08;01;14;4943.01
42111;06;02;41;08;01;14;0
01512;07;02;64;08;01;14;0
16102;06;02;46;04;01;14;0
16102;07;02;54;09;01;14;0
47121;06;02;46;08;01;14;2105.11
10619;06;02;48;08;01;14;2745.73
10619;06;02;47;04;01;14;3690.87
10619;05;02;39;08;01;14;2840.31
03221;07;02;55;09;01;14;1212
